OBJECTID,TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
649886,649886,41211.05139,Commonwealth Ave Boston Ma,-71.115608,42.351035
652425,652425,41210.62292,1280 Boylston St Boston Ma 02215,-71.096267,42.345027
654971,654971,41210.53542,North St Boston Ma,-71.05632,42.360472
657414,657414,41212.64653,160 Essex St Boston Ma 02111,-71.058867,42.352393
659818,659818,41212.70278,20 Inman St Boston Ma 02210,-71.04224,42.345887
662235,662235,41210.91528,Unnamed Road Boston Ma,-71.01691,42.366162
664662,664662,41212.83611,193 Congress St Boston Ma 02110,-71.054692,42.354743
667147,667147,41212.27708,27 Creek Sq Boston Ma,-71.056033,42.361072
669635,669635,41210.46042,1170 Boylston St Boston Ma 02215,-71.093487,42.346218
672076,672076,41213.97986,Unnamed Road Boston Ma,-71.016812,42.36655
674485,674485,41213.95764,Unnamed Road Boston Ma,-71.016962,42.366092
676950,676950,41213.99236,30 Oliver St Boston Ma 02110,-71.053902,42.356837
679421,679421,41204.40139,Huntington Ave @ I-90 Boston Ma,-71.079432,42.347435
681858,681858,41195.93472,140 Milk St Boston Ma 02109,-71.053453,42.358408
684251,684251,41200.60486,I-93 Boston Ma,-71.059635,42.350337
686678,686678,41206.325,Unnamed Road Boston Ma,-71.084403,42.346062
689151,689151,41200.90694,N Tower St Boston Ma,-71.114547,42.300575
691652,691652,41206.79236,140 Oliver St Boston Ma 02110,-71.052823,42.355498
694104,694104,41202.00139,70 N073 Boston Ma,-71.11452,42.300608
696526,696526,41207.92917,60 Belvidere St Boston Ma 02115,-71.084668,42.346072
699000,699000,41207.68056,162 High St Boston Ma 02110,-71.052998,42.356225
701425,701425,41207.82917,430 Washington St Boston Ma 02108,-71.060493,42.355592
703845,703845,41208.83819,106 Causeway St Boston Ma 02114,-71.061822,42.365508
706284,706284,41202.07361,Commonwealth Ave Boston Ma,-71.118163,42.351308
708727,708727,41203.74792,10 Blossom St Boston Ma 02114,-71.066878,42.361565
711170,711170,41208.7625,11 Charles St Boston Ma 02114,-71.06952,42.356588
713660,713660,41207.05,128 Boylston St Boston Ma 02116,-71.065912,42.352453
716188,716188,41201.49167,13 Avery St Boston Ma,-71.063048,42.353278
